OrderID,OrderDate,Category,Product,State,Quantity,UnitPrice,Discount%,OrderStatus,PaymentMode,Channel,OrderAmount
OD20034,16-11-2024,Fashion,T-Shirt,Maharashtra,6,7056.86,20,Delivered,Debit Card,Mobile App,33872.93
OD20035,04-04-2024,Home,Bedsheet,Rajasthan,2,2261.94,0,Delivered,UPI,Mobile App,4523.88
OD20036,01-01-2024,Fashion,Jeans,Karnataka,3,3145.77,25,Delivered,Debit Card,Website,
OD20037,20-07-2024,Fashion,Sneakers,Delhi,1,2502.22,10,Delivered,Wallet,Mobile App,2252
OD20038,25-05-2024,Home,Table Lamp,Karnataka,6,5006.85,5,Delivered,Wallet,Mobile App,28539.05
OD20039,17-12-2024,Books,Diary,DELHI,5,6414.04,10,Delivered,COD,Website,28863.18
OD20040,07-09-2024,Electronics,Phone Cover,UP,3,176.02,0,Pending,COD,Mobile App,528.06
OD20041,15-04-2024,Electronics,Smartwatch,UP,2,5957.65,25,Cancelled,UPI,Mobile App,8936.47
OD20042,18-06-2024,Electronics,  Phone Cover,Karnataka,3,5264.54,10,Returned,UPI,Mobile App,14214.26
OD20043,25-08-2024,Beauty,Perfume,Tamil Nadu,4,3810.76,0,Returned,COD,Website,
OD20044,17-07-2024,Books,Guide Book,Tamil Nadu,2,7344.96,10,Delivered,Credit Card,Mobile App,13220.93
OD20045,11-09-2024,Electronics,Smartwatch,UP,4,3243.53,5,Delivered,COD,Mobile App,12325.41
OD20046,18-06-2024,Beauty,Perfume,Maharashtra,1,2697.7,15,Cancelled,Debit Card,Mobile App,2293.04
OD20047,18-07-2024,Home,Bedsheet,West Bengal,5,749.75,20,Delivered,Credit Card,Mobile App,2999
OD20048,07-04-2024,Home,Table Lamp,Gujarat,3,6313.37,20,Delivered,Wallet,Mobile App,15152.09
OD20049,18-08-2024,Electronics,Earbuds,WEST BENGAL,5,6058.44,10,Cancelled,Debit Card,Mobile App,27262.98
OD20050,26-07-2024,Home,Cushion,Tamil Nadu,6,2023.52,25,Returned,Wallet,Mobile App,9105.84
OD20051,19-06-2024,Books,Notebook,Rajasthan,4,3505.27,10,Delivered,Debit Card,Mobile App,12618.97
OD20052,30-07-2024,Electronics,Bluetooth Speaker,West Bengal,6,4264.72,20,Delivered,Credit Card,Mobile App,20470.66
OD20053,15-07-2024,Electronics,Smartwatch,UP,4,5219.46,20,delivered,COD,Mobile App,16702.27
OD20054,27-09-2024,Electronics,Earbuds,West Bengal,4,7782.09,10,Delivered,COD,Website,28015.52
OD20055,05-03-2024,Books,Novel,Delhi,2,4619.65,0,Pending,COD,Website,9239.3
OD20056,25-09-2024,Electronics,  Earbuds,Tamil Nadu,5,1654.86,10,Delivered,Debit Card,Mobile App,7446.87
OD20057,07-10-2024,Fashion,Sneakers,UP,2,379.85,20,Pending,COD,Website,607.76
OD20058,08-07-2024,Home,Wall Clock,West Bengal,2,4019.61,15,Pending,Wallet,Website,6833.34
OD20059,08-06-2024,Fashion,Sneakers,UP,2,1961.85,10,Delivered,Credit Card,Mobile App,3531.33
OD20060,31-10-2024,Beauty,Hair Oil,DELHI,2,7387.1,0,Delivered,Credit Card,Mobile App,14774.2
OD20061,10-02-2024,Beauty,Perfume,Maharashtra,2,2734.56,5,pending,COD,Mobile App,5195.66
OD20062,25-02-2024,Home,Table Lamp,Karnataka,1,764.2,0,Delivered,COD,Mobile App,764.2
OD20063,26-01-2024,Home,Table Lamp,Maharashtra,6,3866.69,15,Returned,UPI,Mobile App,19720.12
OD20064,11-07-2024,Fashion,Sneakers,Delhi,1,3792.8,0,Delivered,Debit Card,Website,3792.8
OD20065,01-06-2024,Home,Cushion,Tamil Nadu,1,5814.34,0,Delivered,COD,Mobile App,5814.34
OD20066,11-09-2024,Beauty,Hair Oil,Karnataka,2,218.34,10,Pending,Debit Card,Website,393.01
OD20067,22-03-2024,Books,Notebook,West Bengal,2,3350.89,0,Cancelled,UPI,Mobile App,6701.78
OD20068,19-02-2024,Books,Novel,UP,4,4063.03,25,Delivered,Wallet,Website,12189.09
OD20069,17-10-2024,Home,Cushion,Tamil Nadu,3,3077.82,10,Delivered,Wallet,Mobile App,8310.11
OD20070,08-05-2024,Home,Bedsheet,West Bengal,2,4132.5,10,Pending,COD,Mobile App,7438.5
OD20071,30-05-2024,Beauty,Perfume,Delhi,2,1085.85,10,Returned,Credit Card,Mobile App,1954.53
OD20072,24-02-2024,Books,Comic,DELHI,6,4829.75,15,Delivered,UPI,Mobile App,24631.72
OD20073,13-12-2024,Electronics,Smartwatch,West Bengal,3,1603.39,10,Delivered,UPI,Mobile App,4329.15
OD20074,30-11-2024,Books,Notebook,Maharashtra,2,3272.51,10,Cancelled,Wallet,Mobile App,5890.52
OD20075,05-07-2024,Beauty,Hair Oil,Delhi,6,1698.03,20,Delivered,UPI,Mobile App,8150.54
OD20076,24-03-2024,Books,Comic,Rajasthan,2,266.45,5,Pending,Wallet,Mobile App,506.25
OD20077,23-03-2024,Fashion,Jeans,Tamil Nadu,5,1498.51,0,Delivered,Debit Card,Mobile App,7492.55
OD20078,28-01-2024,Electronics,Bluetooth Speaker,Gujarat,5,7420.42,20,Delivered,Credit Card,Mobile App,29681.68
OD20079,03-04-2024,Books,Notebook,Rajasthan,5,1862.37,20,Returned,Credit Card,Website,7449.48
OD20080,01-03-2024,Books,Novel,Gujarat,4,4856.23,10,Pending,COD,Mobile App,17482.43
OD20081,12-11-2024,Fashion,T-Shirt,Delhi,4,3802.39,25,Returned,UPI,Website,11407.17
OD20082,06-07-2024,Fashion,Jeans,West Bengal,1,6447.91,0,Delivered,Wallet,Website,6447.91
OD20083,30-11-2024,Electronics,Phone Cover,West Bengal,2,352.97,0,Returned,COD,Mobile App,705.94
OD20084,28-06-2024,Fashion,Kurti,Maharashtra,5,6086.01,5,Delivered,Wallet,Mobile App,28908.55
OD20085,11-11-2024,Fashion,Handbag,Tamil Nadu,5,2013.58,15,Delivered,Debit Card,Mobile App,8557.72
OD20086,28-09-2024,Fashion,Jeans,Maharashtra,1,5145.1,15,Cancelled,Wallet,Mobile App,4373.34
OD20087,07-07-2024,Home,Cushion,West Bengal,5,1297.63,15,Delivered,Wallet,Mobile App,5514.93
OD20088,01-01-2024,Home,Curtain,Gujarat,6,415.28,5,Delivered,Credit Card,Mobile App,2367.1
OD20089,12-01-2024,Fashion,Handbag,Delhi,1,170.53,15,Delivered,Wallet,Mobile App,144.95
OD20090,22-03-2024,Fashion,Jeans,Rajasthan,2,260.78,10,Pending,Debit Card,Mobile App,469.4
OD20091,26-11-2024,Home,Bedsheet,Delhi,5,7157.51,25,Returned,UPI,Website,26840.66
OD20092,05-04-2024,Books,Novel,West Bengal,2,1399.85,0,Delivered,Wallet,Mobile App,2799.7
OD20093,02-02-2024,Books,Notebook,Tamil Nadu,3,5063.82,25,Pending,UPI,Mobile App,11393.59
OD20094,13-05-2024,Fashion,Kurti,Maharashtra,2,5205.56,0,Delivered,UPI,Mobile App,10411.12
OD20095,31-05-2024,Books,  Guide Book,Tamil Nadu,6,7439.28,10,Delivered,Credit Card,Mobile App,40172.11
OD20096,17-06-2024,Home,Wall Clock,West Bengal,5,2027.47,25,Cancelled,Credit Card,Mobile App,7603.01
OD20097,16-10-2024,Fashion,Sneakers,Maharashtra,2,1285.07,0,Delivered,UPI,Website,2570.14
OD20098,22-12-2024,Electronics,Power Bank,Delhi,1,5933.76,0,Returned,UPI,Mobile App,5933.76
OD20099,14-04-2024,Electronics,Power Bank,UP,1,415.81,0,Pending,Credit Card,Mobile App,415.81
OD20100,13-05-2024,Home,Cushion,West Bengal,1,2904.57,10,Delivered,Wallet,Mobile App,2614.11
OD20101,30-07-2024,Home,Curtain,Delhi,1,3576.13,0,Delivered,UPI,Mobile App,3576.13
OD20102,25-09-2024,Fashion,Sneakers,Delhi,2,2413.43,0,Delivered,COD,Mobile App,4826.86
OD20103,25-05-2024,Books,Comic,Karnataka,2,7515.57,10,Cancelled,Wallet,Website,13528.03
OD20104,24-07-2024,Home,  Cushion,Maharashtra,4,7150.96,0,Cancelled,Wallet,Mobile App,28603.84
OD20105,05-03-2024,Beauty,Lipstick,Rajasthan,5,4813.59,0,Delivered,Wallet,Mobile App,24067.95
OD20106,18-12-2024,Fashion,Sneakers,Rajasthan,3,4696.48,5,Delivered,Debit Card,Mobile App,13384.97
OD20107,04-11-2024,Fashion,Kurti,Gujarat,5,2886.76,10,Delivered,Credit Card,Website,12990.42
OD20108,16-03-2024,Fashion,Sneakers,Karnataka,3,5906.35,20,Delivered,COD,Mobile App,14175.24
OD20109,11-08-2024,Electronics,Earbuds,WEST BENGAL,6,1896.25,10,Cancelled,Credit Card,Mobile App,
OD20110,27-04-2024,Books,Diary,West Bengal,6,5819.42,10,Pending,UPI,Mobile App,31424.87
OD20111,08-05-2024,Fashion,Sneakers,Karnataka,4,3939.54,0,Returned,Debit Card,Website,15758.16
OD20112,20-01-2024,Beauty,Hair Oil,Maharashtra,3,4415.38,5,Pending,Wallet,Mobile App,12583.83
OD20113,19-09-2024,Books,Notebook,Rajasthan,1,5168.2,15,Returned,Credit Card,Mobile App,4392.97
OD20114,22-11-2024,Books,Novel,Gujarat,1,2131.79,20,Cancelled,Debit Card,Mobile App,1705.43
OD20115,24-07-2024,Electronics,Power Bank,Tamil Nadu,5,7776.28,20,Cancelled,Credit Card,Mobile App,31105.12
OD20116,29-06-2024,Books,Notebook,Karnataka,6,5164.55,20,Cancelled,COD,Mobile App,24789.84
OD20117,17-12-2024,Fashion,Jeans,WEST BENGAL,3,7865.69,5,Cancelled,Debit Card,Mobile App,22417.22
OD20118,15-11-2024,Beauty,Hair Oil,West Bengal,6,820.56,15,Delivered,Debit Card,Mobile App,4184.86
OD20119,02-12-2024,Books,Comic,Delhi,1,1796.53,0,Pending,Credit Card,Mobile App,1796.53
OD20120,25-07-2024,Home,Wall Clock,UP,5,1468.12,0,Pending,COD,Mobile App,7340.6
OD20121,09-12-2024,Books,Novel,Rajasthan,1,4507.25,10,Cancelled,COD,Mobile App,4056.53
OD20122,25-03-2024,Beauty,Lipstick,Rajasthan,5,4856.87,0,Delivered,COD,Mobile App,24284.35
OD20123,02-04-2024,Beauty,Hair Oil,Maharashtra,6,2978.95,0,Delivered,UPI,Mobile App,17873.7
OD20124,19-04-2024,Beauty,Lipstick,Delhi,6,3412.39,5,Delivered,Wallet,Mobile App,19450.62
OD20125,04-08-2024,Home,Table Lamp,Gujarat,3,4499.12,10,Delivered,Wallet,Mobile App,12147.62
OD20126,18-06-2024,Fashion,Sneakers,Maharashtra,2,2639.19,10,Delivered,Wallet,Mobile App,4750.54
OD20127,23-07-2024,Books,Diary,Delhi,3,1001.73,0,Delivered,Wallet,Mobile App,3005.19
OD20128,18-04-2024,Books,Notebook,Maharashtra,1,5385.97,25,Pending,UPI,Website,4039.48
OD20129,14-10-2024,Home,Wall Clock,Tamil Nadu,6,2175.32,10,Delivered,UPI,Mobile App,11746.73
OD20130,01-03-2024,Books,Diary,Delhi,4,4666.27,20,Cancelled,Credit Card,Mobile App,14932.06
OD20131,12-02-2024,Beauty,  Sunscreen,MAHARASHTRA,6,3856.71,5,Pending,UPI,Mobile App,21983.25
OD20132,10-01-2024,Electronics,Power Bank,Rajasthan,3,5796.91,10,Cancelled,Credit Card,Website,15651.66
OD20133,23-08-2024,Home,  Curtain,Rajasthan,6,7468.92,10,delivered,Wallet,Website,40332.17
OD20134,03-11-2024,Beauty,Perfume,Tamil Nadu,2,7667.94,25,Returned,Credit Card,Mobile App,11501.91
OD20135,18-11-2024,Electronics,Smartwatch,Karnataka,4,3894.15,25,Delivered,Wallet,Mobile App,11682.45
OD20136,03-11-2024,Books,Novel,Karnataka,3,4739.65,10,Cancelled,COD,Mobile App,12797.05
OD20137,17-05-2024,Electronics,Smartwatch,Tamil Nadu,4,1384.65,0,Delivered,Debit Card,Mobile App,5538.6
OD20138,03-10-2024,Home,Curtain,Maharashtra,5,3955.39,20,Delivered,UPI,Mobile App,15821.56
OD20139,27-10-2024,Beauty,Lipstick,Tamil Nadu,1,6364.57,25,Returned,Wallet,Mobile App,4773.43
OD20140,16-09-2024,Books,Comic,Rajasthan,5,1734.68,10,Delivered,Debit Card,Mobile App,7806.06
OD20141,23-01-2024,Books,Notebook,UP,4,3086.22,0,Delivered,Debit Card,Mobile App,12344.88
OD20142,18-02-2024,Books,Diary,Delhi,1,1756.45,25,Returned,COD,Mobile App,1317.34
OD20143,12-04-2024,Home,Bedsheet,GUJARAT,2,3118.89,0,Delivered,UPI,Mobile App,6237.78
OD20144,12-06-2024,Electronics,Earbuds,Tamil Nadu,5,1980.68,0,Pending,Credit Card,Mobile App,9903.4
OD20145,29-06-2024,Fashion,T-Shirt,Tamil Nadu,1,7236.62,0,Delivered,COD,Website,7236.62
OD20146,03-01-2024,Electronics,Power Bank,Gujarat,2,5463.58,10,Returned,Debit Card,Mobile App,9834.44
OD20147,13-07-2024,Electronics,Smartwatch,Rajasthan,2,3614.87,5,Pending,Credit Card,Mobile App,6868.25
OD20148,12-03-2024,Electronics,Phone Cover,Gujarat,4,7669.94,20,Delivered,COD,Website,24543.81
OD20149,23-04-2024,Home,Wall Clock,Gujarat,6,595.3,25,Returned,Credit Card,Mobile App,2678.85
OD20150,20-06-2024,Electronics,Smartwatch,Tamil Nadu,2,2196.28,0,Delivered,Credit Card,Mobile App,4392.56
OD20151,13-04-2024,Home,Bedsheet,Tamil Nadu,3,3541.67,10,Delivered,UPI,Mobile App,9562.51
OD20152,16-09-2024,Fashion,T-Shirt,Rajasthan,3,4159.66,25,Delivered,UPI,Mobile App,9359.24
OD20153,11-03-2024,Fashion,Jeans,Karnataka,2,4244.97,10,Pending,COD,Mobile App,7640.95
OD20154,09-11-2024,Fashion,  Kurti,Karnataka,6,5705.9,10,Returned,UPI,Mobile App,30811.86
OD20155,16-02-2024,Home,Cushion,Rajasthan,1,3364.71,25,Delivered,Debit Card,Website,2523.53
OD20156,01-07-2024,Fashion,Jeans,Delhi,5,7467.13,0,Delivered,COD,Website,37335.65
OD20157,16-08-2024,Home,Bedsheet,Rajasthan,5,351.29,5,Delivered,Debit Card,Mobile App,1668.63
OD20158,19-02-2024,Books,Novel,Delhi,6,5949.18,10,Delivered,COD,Website,32125.57
OD20159,24-01-2024,Home,Bedsheet,Karnataka,3,1115.94,25,Returned,Credit Card,Mobile App,2510.87
OD20160,22-07-2024,Fashion,Kurti,Rajasthan,2,7593.33,0,Pending,COD,Website,15186.66
OD20161,03-05-2024,Home,Cushion,West Bengal,3,5766.9,15,Cancelled,Debit Card,Mobile App,14705.59
OD20162,25-02-2024,Beauty,Face Wash,Gujarat,5,1621.84,15,Cancelled,COD,Mobile App,6892.82
OD20163,24-11-2024,Electronics,Earbuds,Delhi,5,2236.31,10,Pending,Wallet,Website,10063.4
OD20164,27-05-2024,Beauty,Lipstick,Delhi,1,2547.48,5,Delivered,UPI,Mobile App,2420.11
OD20165,13-08-2024,Books,Diary,Karnataka,1,4166.31,10,Cancelled,Debit Card,Mobile App,3749.68
OD20166,28-11-2024,Books,Diary,UP,4,1729.36,15,Cancelled,UPI,Mobile App,5879.82
OD20167,19-09-2024,Home,Wall Clock,UP,5,3157.9,20,Delivered,Debit Card,Mobile App,12631.6
OD20168,31-05-2024,Home,Cushion,UP,1,6211.21,5,Returned,COD,Mobile App,5900.65
OD20169,12-12-2024,Home,Bedsheet,UP,6,7481.51,20,Delivered,Debit Card,Website,35911.25
OD20170,30-07-2024,Beauty,Perfume,Karnataka,1,183.94,0,Cancelled,Debit Card,Website,183.94
OD20171,27-05-2024,Beauty,Hair Oil,Rajasthan,6,2918.06,15,Cancelled,COD,Mobile App,
OD20172,01-10-2024,Beauty,Perfume,Karnataka,3,6453.18,20,Returned,Wallet,Mobile App,15487.63
OD20173,06-01-2024,Home,Wall Clock,West Bengal,1,522.42,25,Delivered,Wallet,Mobile App,391.81
OD20174,21-01-2024,Beauty,Hair Oil,Gujarat,5,5458.38,25,Delivered,COD,Mobile App,20468.93
OD20175,24-07-2024,Fashion,Sneakers,Rajasthan,4,6173.53,15,Pending,UPI,Mobile App,20990
OD20176,01-12-2024,Books,Notebook,Maharashtra,3,5565.61,20,Pending,Credit Card,Mobile App,13357.46
OD20177,29-06-2024,Fashion,T-Shirt,Maharashtra,5,7950.93,0,Pending,UPI,Mobile App,39754.65
OD20178,08-12-2024,Beauty,Face Wash,Delhi,1,1693.71,25,Returned,Credit Card,Mobile App,1270.28
OD20179,15-03-2024,Beauty,Sunscreen,Maharashtra,2,4219.63,0,Delivered,Wallet,Mobile App,8439.26
OD20180,14-03-2024,Electronics,Earbuds,GUJARAT,6,2020.36,10,Delivered,UPI,Mobile App,10909.94
OD20181,11-01-2024,Fashion,Sneakers,West Bengal,1,1877.38,20,Returned,Credit Card,Website,1501.9
OD20182,10-06-2024,Fashion,Handbag,Karnataka,1,7206.11,25,Delivered,UPI,Mobile App,5404.58
OD20183,30-07-2024,Beauty,Sunscreen,UP,3,3278.99,25,Delivered,Credit Card,Website,7377.73
OD20184,28-02-2024,Home,Table Lamp,Gujarat,3,4339.94,20,Delivered,Debit Card,Mobile App,10415.86
OD20185,25-05-2024,Beauty,Lipstick,Rajasthan,3,2011.82,0,Delivered,UPI,Mobile App,6035.46
OD20186,11-10-2024,Home,Curtain,Karnataka,4,3816.36,10,Delivered,Wallet,Mobile App,13738.9
OD20187,26-04-2024,Home,Table Lamp,UP,4,5451.12,10,Returned,Wallet,Mobile App,19624.03
OD20188,04-10-2024,Fashion,T-Shirt,Maharashtra,3,5927.12,20,Delivered,UPI,Mobile App,14225.09
OD20189,05-12-2024,Fashion,Jeans,UP,1,684.43,15,Returned,Debit Card,Mobile App,581.77
OD20190,25-07-2024,Beauty,Perfume,Gujarat,4,6233.72,5,Delivered,COD,Website,23688.14
OD20191,29-06-2024,Beauty,Lipstick,West Bengal,6,916.93,10,Delivered,COD,Website,4951.42
OD20192,11-04-2024,Books,Notebook,West Bengal,3,1376.08,0,Returned,Wallet,Mobile App,4128.24
OD20193,09-12-2024,Books,Comic,West Bengal,6,4665.91,0,Delivered,Wallet,Website,27995.46
OD20194,12-06-2024,Fashion,T-Shirt,Delhi,2,6250.4,15,Pending,Wallet,Mobile App,10625.68
OD20195,27-06-2024,Home,Curtain,Maharashtra,4,3624.07,15,Pending,Wallet,Website,12321.84
OD20196,07-09-2024,Fashion,Sneakers,Karnataka,2,492.98,10,Delivered,Credit Card,Website,887.36
OD20197,29-07-2024,Fashion,Jeans,Gujarat,1,1731.08,10,Delivered,Credit Card,Website,1557.97
OD20198,24-11-2024,Books,Guide Book,Karnataka,3,5629.69,5,Pending,Wallet,Mobile App,16044.62
OD20199,26-07-2024,Fashion,Kurti,Rajasthan,2,1048.65,10,Delivered,Credit Card,Website,1887.57
OD20200,23-03-2024,Home,Table Lamp,Maharashtra,3,3643.82,15,delivered,COD,Website,9291.74
OD20201,25-02-2024,Home,Curtain,Tamil Nadu,6,3987.68,20,cancelled,Debit Card,Mobile App,19140.86
OD20202,15-01-2024,Fashion,T-Shirt,Karnataka,1,6229.34,5,Delivered,Credit Card,Website,5917.87
OD20203,13-07-2024,Home,Curtain,Gujarat,2,5231.34,15,Delivered,Debit Card,Mobile App,8893.28
OD20204,17-10-2024,Electronics,Earbuds,Maharashtra,6,7380.46,20,Delivered,Debit Card,Website,35426.21
OD20205,11-03-2024,Fashion,Kurti,Karnataka,4,5148.53,20,Delivered,Debit Card,Website,16475.3
OD20206,14-03-2024,Electronics,Phone Cover,West Bengal,3,715.15,0,Returned,Credit Card,Mobile App,
OD20207,14-08-2024,Beauty,Perfume,Delhi,5,5450.8,10,Cancelled,Credit Card,Mobile App,24528.6
OD20208,31-01-2024,Books,Diary,Maharashtra,6,5460.1,10,Returned,Debit Card,Mobile App,29484.54
OD20209,23-04-2024,Books,Novel,UP,6,5956.77,0,Delivered,Wallet,Mobile App,35740.62
OD20210,13-05-2024,Books,Guide Book,West Bengal,1,1933.87,10,Returned,Credit Card,Mobile App,1740.48
OD20211,25-04-2024,Beauty,Lipstick,Rajasthan,5,4645.75,0,Pending,UPI,Mobile App,23228.75
OD20212,16-11-2024,Fashion,Handbag,Maharashtra,6,4193.98,25,Pending,UPI,Mobile App,18872.91
OD20213,26-07-2024,Home,Curtain,Delhi,2,520.69,0,Delivered,Credit Card,Mobile App,1041.38
OD20214,15-10-2024,Electronics,Phone Cover,UP,1,7352.41,15,Delivered,UPI,Mobile App,6249.55
OD20215,19-09-2024,Electronics,Power Bank,Gujarat,6,4268.96,15,Pending,Debit Card,Website,21771.7
OD20216,30-06-2024,Electronics,Power Bank,Tamil Nadu,2,5597.33,0,Returned,Debit Card,Mobile App,11194.66
OD20217,17-12-2024,Fashion,Handbag,Tamil Nadu,6,3139.44,5,Returned,COD,Website,17894.81
OD20218,06-09-2024,Electronics,Smartwatch,Karnataka,5,3949.16,0,Delivered,COD,Mobile App,19745.8
OD20219,08-11-2024,Beauty,Hair Oil,UP,5,745.69,15,Returned,Credit Card,Mobile App,3169.18
OD20220,17-07-2024,Beauty,Perfume,Rajasthan,3,2617.72,15,Returned,Wallet,Website,6675.19
OD20221,15-07-2024,Fashion,Kurti,Tamil Nadu,3,648.34,10,Delivered,UPI,Website,1750.52
OD20222,04-07-2024,Fashion,Sneakers,Maharashtra,3,6375.38,10,Delivered,Wallet,Mobile App,17213.53
OD20223,20-06-2024,Home,Curtain,West Bengal,1,5678.17,15,Cancelled,Credit Card,Mobile App,4826.44
OD20224,26-07-2024,Fashion,T-Shirt,Rajasthan,4,3259.18,10,Delivered,Wallet,Mobile App,11733.05
OD20225,26-10-2024,Electronics,Power Bank,Maharashtra,2,2538.26,15,Cancelled,UPI,Mobile App,4315.04
OD20226,11-05-2024,Home,Wall Clock,Tamil Nadu,5,331.12,5,Pending,Credit Card,Mobile App,1572.82
OD20227,03-05-2024,Books,Novel,UP,6,595.88,5,Returned,Credit Card,Website,3396.52
OD20228,23-11-2024,Fashion,Jeans,Delhi,3,7394.67,10,Delivered,Debit Card,Mobile App,19965.61
OD20229,14-02-2024,Electronics,Bluetooth Speaker,Delhi,6,4960.42,25,Returned,Debit Card,Mobile App,
OD20230,21-03-2024,Electronics,Bluetooth Speaker,Gujarat,1,296.02,10,Delivered,Debit Card,Mobile App,266.42
OD20231,27-04-2024,Books,Diary,Gujarat,6,5006.61,25,Delivered,COD,Mobile App,22529.74
OD20232,08-03-2024,Home,Curtain,Tamil Nadu,3,220.97,25,Delivered,Credit Card,Mobile App,497.18
OD20233,03-03-2024,Electronics,Earbuds,Karnataka,1,4414.68,10,Returned,Credit Card,Mobile App,3973.21
OD20234,29-12-2024,Books,Novel,Gujarat,2,3616.22,25,Delivered,Debit Card,Website,5424.33
OD20235,26-11-2024,Electronics,Earbuds,Maharashtra,4,5442.57,15,Delivered,Credit Card,Website,18504.74
OD20236,29-12-2024,Home,Bedsheet,Tamil Nadu,4,2048.36,15,Delivered,COD,Mobile App,6964.42
OD20237,16-05-2024,Books,Notebook,Rajasthan,2,6609.21,10,Delivered,Wallet,Mobile App,11896.58
OD20238,17-04-2024,Fashion,Handbag,Delhi,6,2978.86,25,Delivered,UPI,Mobile App,13404.87
OD20239,18-03-2024,Electronics,Power Bank,Tamil Nadu,5,5927.73,0,Delivered,COD,Mobile App,29638.65
OD20240,13-04-2024,Electronics,Phone Cover,UP,6,5562.25,0,Delivered,UPI,Website,33373.5
OD20241,02-03-2024,Home,Bedsheet,Maharashtra,4,7769.12,20,Delivered,Wallet,Website,24861.18
OD20242,09-02-2024,Books,Comic,Rajasthan,3,7768.35,10,pending,UPI,Mobile App,20974.55
OD20243,11-10-2024,Books,Novel,WEST BENGAL,3,2247.58,15,Pending,COD,Mobile App,5731.33
OD20244,03-10-2024,Beauty,Hair Oil,Gujarat,4,3156.36,5,Cancelled,UPI,Mobile App,11994.17
